"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions"
"FGLBJAKE_00376",0,4.33333333333333,0,0,52.7355555285117,0,TRUE
"FGLBJAKE_00377",0,0,0,0,0,0,FALSE
"FGLBJAKE_00378",19,23,109.666666666667,189.695223008367,279.904102420562,1083.7840864919,TRUE
"FGLBJAKE_00379",181.333333333333,335.666666666667,368.333333333333,1810.4245845009,4084.9772628624,3640.06509292872,TRUE
"FGLBJAKE_00380",0,0,0,0,0,0,FALSE
"FGLBJAKE_00381",0,0,0,0,0,0,FALSE
"FGLBJAKE_00382",0,0,0,0,0,0,FALSE
"FGLBJAKE_00383",0,0,0,0,0,0,FALSE
"FGLBJAKE_00384",0,0,0,0,0,0,FALSE
"FGLBJAKE_00385",0,0,0,0,0,0,FALSE
"FGLBJAKE_00386",0,0,0,0,0,0,FALSE
"FGLBJAKE_00387",0,0,0,0,0,0,FALSE
"FGLBJAKE_00388",0,0,0,0,0,0,FALSE
"FGLBJAKE_00390",0,0,0,0,0,0,FALSE
"FGLBJAKE_00391",0,0,0,0,0,0,FALSE
"FGLBJAKE_00392",0,0,0,0,0,0,FALSE
"FGLBJAKE_00393",0,0,0,0,0,0,FALSE
"FGLBJAKE_00394",0,0,0,0,0,0,FALSE
